Card   1: 74  8  2 86 40 25 93 17 61 32 | 65 25 73 55 75 94 54 99 53 17 89  4 44 13 15 32 57 92  8 21 74 64  5 87 24
Card   2:  8 18 79 59 71 84 72 23 96 74 | 22 83 74 78 72 30  8 59  6 23  7 71 31 84 18 96 21 36 51 67 80 79 60 28 42
Card   3: 63 27 56 19 85 86 40 78 67 54 | 34 32 79 64 35 46 61 31 24 41 33 44 10 56 49 36  4 82 98 54 23 21 63 86 51
Card   4:  2 95 87 25 13 12  9 24 68 29 | 84 54 49 78 52 60 34 25 97 26 55 39 66 79 23 94 29 67 12 51  9 16 19 76  8
Card   5: 70 92 50 61 43 16 53 71 91  7 | 17 70 62 84 82  9 14 16 56 15 63 91 77 57 58 60 96 35 88 26 51 54 59 74 80
Card   6: 34 86 44 60 10  4 89  5 94 92 | 60 95 35  2 86 32 94 79 82 64  4  5 92 89 44 69 34 21 76 72  9  6 52 48 61
Card   7: 99 36 57 20 46 38 26 58 72 11 | 99 70 20 58 38 67 76 36 84 27 94 11 26 35 46 21 81 31 72 62 13 10 57 54  4
Card   8: 19 95 24 99 44 36 58 26 31  6 | 69 10 43 42 70 64 92 40 38 47 21 98 41 49 20 71 65 59 91 72 34 74 84 29 22
Card   9: 87 77 90 73  7 27 48  1 13 55 | 96 28 40 62 19  3 25 47 80 85 68 94 82 50 12 65 84 75 83 41 91 89 55 42 48
Card  10:  6 89 13 82 16 54 27 67 19 76 | 65 67 94 58 97 61 54 80 53  6 73 41 95  7 83  2 23 11 63 24 78 29 13 16 82
Card  11: 27 50  4 17 31 70 18 75 91 20 | 71 85 67 80 92  6 31 48 15 70 51  7 78 34  8 72 16 62  4 52 75 39  2 82 74
Card  12: 27 68 79 78 21 56 53 29  2 74 | 96 69 59 49 20 42 23 71 54 72 25  7 55 19 64 37 62 41 10 66 26 75 93 18 84
Card  13:  1 75 85 51 47 45 93 11 57 80 | 97 66  4 61 42 36 12 83 86 51 99 90 52 82 30 33 20 56 44 59 18 24 28 40 41
Card  14: 24 28 85 42  5  3 33 76 98 75 | 31 95 54  8 90 10  6 85 75 44 94 40 62 47 83 26  9 27 68 63 88 80 82 55 93
Card  15: 52 28 90 27  6 37 44  3 51 39 | 65 44 64 85 47 20 86 83 38 49 80 21 56 30 89 69 84 93  1 48 88 76 36 77 97
Card  16: 28  7  3 39 71 85 84 13 44 31 | 93 79 33 21  4 18 63 23 68 49 57  9 22 54 27 69 75 29 30 78 37 98 91 38 94
Card  17: 97 20 84 50 98 82 45 22 33 60 | 53 10 68 92 43 76 99 52 38 96 31  4 25 15 11 42 69 56 62 23 29 74 51 39 40
Card  18: 28 66 82 85 94 35 72 29 63 68 | 73 86 63 60 20 10 64 89 66 61 90 35 72  8 85 28 29  1 88 49 76 36 82 94 68
Card  19: 58 41 33 29 38 60  3 73 10 13 | 52 73 20 51 47 75 74 26 69 18 70 24 62 53 91 85 63  1 76  5 42 43 97 10 84
Card  20: 46  8 66  7 27  4  9 78 24 18 | 13 14 57 92  6 59  3 81 70 10  4 51 98 23 66 64 74 49 83 27 24 73 95 35  7
Card  21: 15 32 12 47 53 89 24 58 59 18 | 47 82  1 53 58 93 44 19 12 96 13 61 15 72 75 83 65 41 54 49 71 78 68 59 79
Card  22: 92 27 79 68 46 97  2 96 94 80 | 18 81 12 13 39 93 83 38 52 46 89 17 24 58 49 74 10  8 57 65 35 19 54 41 11
Card  23: 92 72 68 65 54 18 34 62 41 82 | 96 32 74 10 12  8 34 55 54 83 91 22 47 68 52 21 41 65 72 97 30 70 46 18  9
Card  24: 49 76 13 10 59 33 86 29 95 32 | 16 60 38 33 68 51 15 50 95 61 29 93 76  6 31 71 10 25 13 40 49 77  2 32 23
Card  25: 38 66 33  7 77 73 44 50 25 76 | 20 12 63 92 61  5 88 37 75 21 41 47 73 77 13 76 31 80 60 34 93 90 54  3 45
Card  26: 77 45 81 84 53 80 76 22 75 61 | 25 58 38 45 98 10  6 92 70 82 24 22  4 68 97 72 14 49 17 83 27 53 77 89 75
Card  27: 60 16 79 54 85 56 92 41 26 44 | 63 44 69 60 96  7 36  2 37  5 41 73  6 51 64 56 53 76 57 99 21 30 67 85 66
Card  28: 41 84 40 62 67 89 29  7  2  8 | 35  9 24 29 20 33  6 98 50 95 10 36 14 80  1  3 88 15 13 48 18 72 26 76 31
Card  29: 68 66 52 34 99 70 29 58 19 98 | 88 64  1 14 79 31 44 39 45 40 21  6 97 13 73 11 48 67  8 50 10 57 51 94 91
Card  30: 99 45  9 78 88 76 60 86 12 98 | 54 60 30 57 68 22 64 26 98 23 89 50  7 61 91 87 83 25  2 37 56 78 94 36 31
Card  31: 59 93 89 84 66 44 34 88 54 27 | 29 12 61 23 49 86 24 19 54 99 35 90 65 82 13 76 20 87 48 40 62 16 80 33 43
Card  32: 44 13 99 31 54 52 55 66 58 16 | 40 88 79 93 67 20 30 37 26 24 77  2 81 62 71 82 49 92 86 41 32 59 53 16 90
